FeatureCode,DateCode,Measurement,Units,Value,Age
S12000021,2014,Count,Cards,34020,60 years and over
S12000021,2017,Count,Cards,34087,60 years and over
S12000021,2013,Count,Cards,34107,60 years and over
S12000021,2014,Count,Cards,38832,All
S12000021,2012,Count,Cards,37957,All
S12000021,2020,Count,Cards,38579,60 years and over
S12000021,2011,Count,Cards,37088,All
S12000021,2013,Count,Cards,38536,All
S12000021,2007,Count,Cards,32436,All
S12000021,2010,Count,Cards,36324,All
S12000021,2019,Count,Cards,37475,60 years and over
S12000021,2017,Count,Cards,39175,All
S12000021,2007,Count,Cards,27450,60 years and over
S12000021,2012,Count,Cards,32020,60 years and over
S12000021,2015,Count,Cards,39769,All
S12000021,2011,Count,Cards,31370,60 years and over
S12000021,2018,Count,Cards,35673,60 years and over
S12000021,2015,Count,Cards,34821,60 years and over
S12000021,2016,Count,Cards,38596,All
S12000021,2016,Count,Cards,33606,60 years and over
S12000021,2019,Count,Cards,42723,All
S12000021,2010,Count,Cards,30711,60 years and over
S12000021,2006,Count,Cards,24974,60 years and over
S12000023,2013,Count,Cards,5412,60 years and over
S12000023,2018,Count,Cards,6022,60 years and over
S12000023,2014,Count,Cards,6069,All
S12000023,2016,Count,Cards,6283,All
S12000023,2012,Count,Cards,5248,60 years and over
S12000023,2012,Count,Cards,5851,All
S12000023,2007,Count,Cards,4511,All
S12000023,2010,Count,Cards,5457,All
S12000023,2011,Count,Cards,5731,All
S12000023,2017,Count,Cards,6569,All
S12000023,2015,Count,Cards,6191,All
S12000023,2014,Count,Cards,5546,60 years and over
S12000023,2013,Count,Cards,5881,All
S12000023,2020,Count,Cards,6174,60 years and over
S12000023,2017,Count,Cards,5890,60 years and over
S12000023,2006,Count,Cards,4029,All
S12000023,2020,Count,Cards,6803,All
S12000023,2019,Count,Cards,6177,60 years and over
S12000023,2011,Count,Cards,5157,60 years and over
S12000023,2019,Count,Cards,6884,All
S12000023,2010,Count,Cards,4921,60 years and over
S12000023,2016,Count,Cards,5692,60 years and over
S12000023,2018,Count,Cards,6719,All
S12000023,2007,Count,Cards,4117,60 years and over
S12000023,2015,Count,Cards,5635,60 years and over
S12000023,2006,Count,Cards,3709,60 years and over
S12000026,2010,Count,Cards,25969,60 years and over
S12000026,2017,Count,Cards,32233,All
S12000026,2019,Count,Cards,34178,All
S12000026,2020,Count,Cards,33878,All
S12000026,2017,Count,Cards,29728,60 years and over
S12000026,2006,Count,Cards,20286,60 years and over
S12000026,2019,Count,Cards,31535,60 years and over
S12000026,2014,Count,Cards,29470,60 years and over
S12000026,2007,Count,Cards,22430,60 years and over
S12000026,2015,Count,Cards,32306,All
S12000026,2011,Count,Cards,27057,60 years and over
S12000026,2020,Count,Cards,31583,60 years and over
S12000026,2012,Count,Cards,28046,60 years and over
S12000026,2010,Count,Cards,28671,All
S12000026,2014,Count,Cards,31669,All
S12000026,2018,Count,Cards,30622,60 years and over
S12000026,2013,Count,Cards,29757,60 years and over
S12000026,2012,Count,Cards,31024,All
S12000026,2011,Count,Cards,29842,All
S12000026,2013,Count,Cards,31675,All
S12000026,2015,Count,Cards,30027,60 years and over
S12000026,2016,Count,Cards,31120,All
S12000026,2018,Count,Cards,33098,All
S12000026,2006,Count,Cards,22583,All
S12000026,2007,Count,Cards,24939,All
S12000026,2016,Count,Cards,28777,60 years and over
S12000027,2006,Count,Cards,3695,60 years and over
S12000027,2007,Count,Cards,4109,60 years and over
S12000027,2018,Count,Cards,5725,60 years and over
S12000027,2014,Count,Cards,5460,60 years and over
S12000027,2017,Count,Cards,6113,All
S12000027,2013,Count,Cards,5409,60 years and over
S12000027,2013,Count,Cards,5779,All
S12000027,2012,Count,Cards,5740,All
S12000027,2014,Count,Cards,5916,All
S12000027,2011,Count,Cards,5501,All
S12000027,2011,Count,Cards,4974,60 years and over
S12000027,2010,Count,Cards,5327,All
S12000027,2010,Count,Cards,4823,60 years and over
S12000027,2006,Count,Cards,3979,All
S12000027,2016,Count,Cards,5547,60 years and over
S12000027,2017,Count,Cards,5530,60 years and over
S12000027,2007,Count,Cards,4472,All
S12000027,2018,Count,Cards,6374,All
S12000027,2016,Count,Cards,6117,All
S12000027,2019,Count,Cards,6558,All
S12000027,2020,Count,Cards,6522,All
S12000027,2019,Count,Cards,5839,60 years and over
S12000027,2015,Count,Cards,6069,All
S12000027,2012,Count,Cards,5182,60 years and over
S12000027,2015,Count,Cards,5570,60 years and over
S12000027,2020,Count,Cards,5881,60 years and over
S12000028,2007,Count,Cards,28304,All
S12000028,2010,Count,Cards,31549,All
S12000028,2006,Count,Cards,25805,All
S12000028,2013,Count,Cards,33555,All
S12000028,2014,Count,Cards,34027,All
S12000028,2011,Count,Cards,32227,All
S12000028,2012,Count,Cards,33089,All
S12000028,2017,Count,Cards,34681,All
S12000028,2015,Count,Cards,31268,60 years and over
S12000028,2013,Count,Cards,30310,60 years and over
S12000028,2018,Count,Cards,32275,60 years and over
S12000028,2016,Count,Cards,34054,All
S12000028,2011,Count,Cards,27904,60 years and over
S12000028,2019,Count,Cards,37663,All
S12000028,2016,Count,Cards,30378,60 years and over
S12000028,2018,Count,Cards,36005,All
S12000028,2010,Count,Cards,27373,60 years and over
S12000028,2019,Count,Cards,33845,60 years and over
S12000028,2007,Count,Cards,24588,60 years and over
S12000028,2006,Count,Cards,22406,60 years and over
S12000028,2020,Count,Cards,34745,60 years and over
S12000028,2020,Count,Cards,38135,All
S12000028,2014,Count,Cards,30451,60 years and over
S12000028,2012,Count,Cards,28601,60 years and over
S12000028,2015,Count,Cards,35002,All
S12000028,2017,Count,Cards,30978,60 years and over
S12000029,2016,Count,Cards,77215,All
S12000029,2016,Count,Cards,67418,60 years and over
S12000029,2013,Count,Cards,66222,60 years and over
S12000029,2015,Count,Cards,68643,60 years and over
S12000029,2018,Count,Cards,71469,60 years and over
S12000029,2006,Count,Cards,47955,60 years and over
S12000029,2019,Count,Cards,75455,60 years and over
S12000029,2012,Count,Cards,73527,All
S12000029,2011,Count,Cards,71734,All
S12000029,2014,Count,Cards,75768,All
S12000029,2013,Count,Cards,74523,All
S12000029,2006,Count,Cards,57048,All
S12000029,2007,Count,Cards,62605,All
S12000029,2010,Count,Cards,69866,All
S12000029,2018,Count,Cards,81360,All
S12000029,2007,Count,Cards,52894,60 years and over
S12000029,2019,Count,Cards,85514,All
S12000029,2010,Count,Cards,59228,60 years and over
S12000029,2017,Count,Cards,77874,All
S12000029,2020,Count,Cards,86698,All
S12000029,2014,Count,Cards,66513,60 years and over
S12000029,2017,Count,Cards,68058,60 years and over
S12000029,2011,Count,Cards,60832,60 years and over
S12000029,2012,Count,Cards,62372,60 years and over
S12000029,2015,Count,Cards,78361,All
S12000029,2020,Count,Cards,77741,60 years and over
S12000030,2017,Count,Cards,18642,60 years and over
S12000030,2015,Count,Cards,20607,All
S12000030,2016,Count,Cards,18676,60 years and over
S12000030,2006,Count,Cards,13720,60 years and over
S12000030,2018,Count,Cards,19371,60 years and over
S12000030,2017,Count,Cards,20711,All
S12000030,2020,Count,Cards,20599,60 years and over
S12000030,2015,Count,Cards,18614,60 years and over
S12000030,2018,Count,Cards,21488,All
S12000030,2014,Count,Cards,18467,60 years and over
S12000030,2014,Count,Cards,20361,All
S12000030,2011,Count,Cards,19510,All
S12000030,2012,Count,Cards,20106,All
S12000030,2010,Count,Cards,18921,All
S12000030,2007,Count,Cards,14986,60 years and over
S12000030,2013,Count,Cards,20039,All
S12000030,2006,Count,Cards,15217,All
S12000030,2010,Count,Cards,16863,60 years and over
S12000030,2012,Count,Cards,17802,60 years and over
S12000030,2007,Count,Cards,16693,All
S12000030,2020,Count,Cards,22421,All
S12000030,2013,Count,Cards,18386,60 years and over
S12000030,2019,Count,Cards,22354,All
S12000030,2011,Count,Cards,17357,60 years and over
S12000030,2019,Count,Cards,20223,60 years and over
S12000030,2016,Count,Cards,20673,All
S12000033,2019,Count,Cards,52134,All
S12000033,2012,Count,Cards,41588,60 years and over
S12000033,2006,Count,Cards,33213,60 years and over
S12000033,2016,Count,Cards,44091,60 years and over
S12000033,2016,Count,Cards,50112,All
S12000033,2018,Count,Cards,43924,60 years and over
S12000033,2015,Count,Cards,51962,All
S12000033,2006,Count,Cards,38231,All
S12000033,2015,Count,Cards,46037,60 years and over
S12000033,2013,Count,Cards,43396,60 years and over
S12000033,2007,Count,Cards,50147,60 years and over
S12000033,2017,Count,Cards,48554,All
S12000033,2010,Count,Cards,41457,60 years and over
S12000033,2019,Count,Cards,45556,60 years and over
S12000033,2020,Count,Cards,46157,60 years and over
S12000033,2011,Count,Cards,41401,60 years and over
S12000033,2012,Count,Cards,49030,All
S12000033,2017,Count,Cards,42322,60 years and over
S12000033,2007,Count,Cards,61124,All
S12000033,2020,Count,Cards,51829,All
S12000033,2014,Count,Cards,49799,All
S12000033,2010,Count,Cards,47918,All
S12000033,2013,Count,Cards,48205,All
S12000033,2014,Count,Cards,44407,60 years and over
S12000033,2011,Count,Cards,48383,All
S12000033,2018,Count,Cards,50382,All
S12000034,2014,Count,Cards,57349,All
S12000034,2012,Count,Cards,54742,All
S12000034,2011,Count,Cards,47938,60 years and over
S12000034,2017,Count,Cards,60528,All
S12000034,2006,Count,Cards,37842,All
S12000034,2012,Count,Cards,49859,60 years and over
S12000034,2019,Count,Cards,59725,60 years and over
S12000034,2013,Count,Cards,55576,60 years and over
S12000034,2013,Count,Cards,58872,All
S12000034,2010,Count,Cards,45595,60 years and over
S12000034,2018,Count,Cards,62668,All
S12000034,2010,Count,Cards,50080,All
S12000034,2016,Count,Cards,55130,60 years and over
S12000034,2019,Count,Cards,64725,All
S12000034,2017,Count,Cards,55931,60 years and over
S12000034,2015,Count,Cards,58898,All
S12000034,2006,Count,Cards,34459,60 years and over
S12000034,2020,Count,Cards,64479,All
S12000034,2014,Count,Cards,53430,60 years and over
S12000034,2020,Count,Cards,59999,60 years and over
S12000034,2016,Count,Cards,59460,All
S12000034,2011,Count,Cards,52596,All
S12000034,2007,Count,Cards,38811,60 years and over
S12000034,2015,Count,Cards,54773,60 years and over
S12000034,2018,Count,Cards,57926,60 years and over
S12000034,2007,Count,Cards,42631,All
S12000035,2020,Count,Cards,30542,All
S12000035,2006,Count,Cards,19460,All
S12000035,2017,Count,Cards,27370,All
S12000035,2007,Count,Cards,21809,All
S12000035,2007,Count,Cards,19521,60 years and over
S12000035,2006,Count,Cards,17403,60 years and over
S12000035,2014,Count,Cards,25018,60 years and over
S12000035,2019,Count,Cards,27644,60 years and over
S12000035,2010,Count,Cards,22541,60 years and over
S12000035,2018,Count,Cards,28677,All
S12000035,2016,Count,Cards,25195,60 years and over
S12000035,2012,Count,Cards,23567,60 years and over
S12000035,2019,Count,Cards,30046,All
S12000035,2018,Count,Cards,26272,60 years and over
S12000035,2017,Count,Cards,24979,60 years and over
S12000035,2011,Count,Cards,23003,60 years and over
S12000035,2016,Count,Cards,27562,All
S12000035,2015,Count,Cards,27971,All
S12000035,2013,Count,Cards,24993,60 years and over
S12000035,2013,Count,Cards,27132,All
S12000035,2012,Count,Cards,26414,All
S12000035,2014,Count,Cards,27342,All
S12000035,2010,Count,Cards,25220,All
S12000035,2011,Count,Cards,25775,All
S12000035,2020,Count,Cards,28401,60 years and over
S12000035,2015,Count,Cards,25578,60 years and over
S12000036,2016,Count,Cards,112255,All
S12000036,2006,Count,Cards,71870,60 years and over
S12000036,2015,Count,Cards,114567,All
S12000036,2019,Count,Cards,127575,All
S12000036,2019,Count,Cards,111176,60 years and over
S12000036,2015,Count,Cards,100394,60 years and over
S12000036,2018,Count,Cards,120708,All
S12000036,2013,Count,Cards,97148,60 years and over
