FeatureCode,DateCode,variable,value
S12000035,2016,Expenditure,13337
S12000036,2016,Expenditure,8927
S12000038,2016,Expenditure,13258
S12000039,2016,Expenditure,5561
S12000040,2016,Expenditure,14799
S12000041,2016,Expenditure,10210
S12000042,2016,Expenditure,6392
S12000045,2016,Expenditure,7194
S12000047,2016,Expenditure,29397
S12000048,2016,Expenditure,12429
S92000003,2016,Expenditure,398102
S12000005,2017,Expenditure,2477
S12000006,2017,Expenditure,14501
S12000008,2017,Expenditure,10732
S12000010,2017,Expenditure,6116
S12000011,2017,Expenditure,11483
S12000013,2017,Expenditure,7644
S12000014,2017,Expenditure,9294
S12000017,2017,Expenditure,26623
S12000018,2017,Expenditure,5262
S12000019,2017,Expenditure,6338
S12000020,2017,Expenditure,6159
S12000021,2017,Expenditure,11904
S12000023,2017,Expenditure,12602
S12000026,2017,Expenditure,11860
S12000027,2017,Expenditure,21725
S12000028,2017,Expenditure,10596
S12000029,2017,Expenditure,29488
S12000030,2017,Expenditure,6980
S12000033,2017,Expenditure,12610
S12000034,2017,Expenditure,24993
S12000035,2017,Expenditure,14208
S12000036,2017,Expenditure,5785
S12000038,2017,Expenditure,14522
S12000039,2017,Expenditure,6228
S12000040,2017,Expenditure,15428
S12000041,2017,Expenditure,11231
S12000042,2017,Expenditure,6803
S12000045,2017,Expenditure,7784
S12000047,2017,Expenditure,31148
S12000048,2017,Expenditure,13284
S92000003,2017,Expenditure,429904
S12000005,2018,Expenditure,2577
S12000006,2018,Expenditure,14496
S12000008,2018,Expenditure,11280
S12000010,2018,Expenditure,5531
S12000011,2018,Expenditure,10593
S12000013,2018,Expenditure,7461
S12000014,2018,Expenditure,8873
S12000017,2018,Expenditure,33514
S12000018,2018,Expenditure,4777
S12000019,2018,Expenditure,5595
S12000020,2018,Expenditure,5460
S12000021,2018,Expenditure,11433
S12000023,2018,Expenditure,9843
S12000026,2018,Expenditure,11144
S12000027,2018,Expenditure,18436
S12000028,2018,Expenditure,9395
S12000029,2018,Expenditure,23558
S12000030,2018,Expenditure,8164
S12000033,2018,Expenditure,8656
S12000034,2018,Expenditure,16701
S12000035,2018,Expenditure,13735
S12000036,2018,Expenditure,-9058
S12000038,2018,Expenditure,12880
S12000039,2018,Expenditure,5554
S12000040,2018,Expenditure,15228
S12000041,2018,Expenditure,10590
S12000042,2018,Expenditure,5138
S12000045,2018,Expenditure,7143
S12000047,2018,Expenditure,28372
S12000048,2018,Expenditure,11415
S92000003,2018,Expenditure,379180
S12000005,2019,Expenditure,2274
S12000006,2019,Expenditure,10285
S12000008,2019,Expenditure,9672
S12000010,2019,Expenditure,5771
S12000011,2019,Expenditure,10262
S12000013,2019,Expenditure,7321
S12000014,2019,Expenditure,8779
S12000017,2019,Expenditure,31050
S12000018,2019,Expenditure,4343
S12000019,2019,Expenditure,5208
S12000020,2019,Expenditure,5132
S12000021,2019,Expenditure,11190
S12000023,2019,Expenditure,10340
