FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000017,2013,Count,Vehicle Kilometres,2612.5,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2014,Count,Vehicle Kilometres,1130.95,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2012,Count,Vehicle Kilometres,1515.92,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2016,Count,Vehicle Kilometres,1159.11,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2016,Count,Vehicle Kilometres,1639,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2008,Count,Vehicle Kilometres,1097,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2010,Count,Vehicle Kilometres,2591,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2009,Count,Vehicle Kilometres,1086,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2019,Count,Vehicle Kilometres,3026.28,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2011,Count,Vehicle Kilometres,2590.15,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2007,Count,Vehicle Kilometres,2595,The Total Million Vehicle Kilometres On Scottish Roads
S12000017,2008,Count,Vehicle Kilometres,2597,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2006,Count,Vehicle Kilometres,1128,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2007,Count,Vehicle Kilometres,1066,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2008,Count,Vehicle Kilometres,1517,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2009,Count,Vehicle Kilometres,1505,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2007,Count,Vehicle Kilometres,1524,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2011,Count,Vehicle Kilometres,850.3,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2011,Count,Vehicle Kilometres,1485.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2019,Count,Vehicle Kilometres,1647.14,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2017,Count,Vehicle Kilometres,823.74,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2010,Count,Vehicle Kilometres,1477.6,The Total Million Vehicle Kilometres On Scottish Roads
